Designator,Mid X,Mid Y,Rotation,Layer
_1000,302.75,-226.441,180.0,top
_999,435.755,-85.471,0.0,top
_998,311.621675,-318.516,180.0,top
_997,258.227325,-170.63335,0.0,top
_996,368.245675,-226.441,180.0,top
_995,20.01165,-169.34565,0.0,top
_994,83.203,-85.67035,0.0,top
_993,34.47135,-341.44835,180.0,top
_992,234.986325,-176.85635,0.0,top
_991,258.590325,-405.3663,180.0,top
_990,171.740325,-176.657,0.0,top
_989,21.191,-423.672,180.0,top
_988,118.56365,-176.657,0.0,top
_987,293.642325,-410.13765,180.0,top
_986,84.092025,-342.33735,180.0,top
_985,21.13635,-324.55735,180.0,top
_984,290.684975,-176.7663,0.0,top
_983,399.143,-414.147,180.0,top
_982,194.963,-255.016,0.0,top
_981,292.971,-249.555,180.0,top
_980,153.651675,-85.28935,0.0,top
_979,220.490325,-433.0523,180.0,top
_978,121.176,-62.04835,0.0,top
_977,372.926325,-62.357,0.0,top
_976,258.172675,-91.7117,0.0,top
_975,221.742,-273.177,0.0,top
_974,372.853975,-176.96565,0.0,top
_973,448.038,-405.765,180.0,top
_972,247.432325,-153.74235,0.0,top
_971,293.007325,-433.25165,180.0,top
_970,50.99935,-341.57535,180.0,top
_969,111.905,-62.04835,0.0,top
_968,431.528,-410.337,180.0,top
_967,216.897675,-85.4887,0.0,top
_966,398.09065,-154.23265,0.0,top
_965,48.659,-61.849,0.0,top
_964,55.39,-61.849,0.0,top
_963,31.93135,-341.44835,180.0,top
_962,335.84235,-314.833,180.0,top
_961,428.95135,-342.08335,180.0,top
_960,131.971,-71.31935,0.0,top
_959,169.944025,-341.6477,180.0,top
_958,84.092025,-311.98435,180.0,top
_957,194.981325,-190.627,0.0,top
_956,209.695325,-403.5883,180.0,top
_955,21.13635,-322.14435,180.0,top
_954,196.160675,-417.14035,180.0,top
_953,320.529975,-183.1163,0.0,top
_952,446.677,-69.088,0.0,top
_951,209.404675,-74.3127,0.0,top
_950,397.782,-97.663,0.0,top
_949,272.905,-230.251,180.0,top
_948,305.326325,-410.13765,180.0,top
_947,447.72935,-349.19535,180.0,top
_946,321.654675,-329.692,180.0,top
_945,188.613025,-318.4067,180.0,top
_944,397.909,-66.802,0.0,top
_943,271.580325,-97.46365,0.0,top
_942,355.90835,-341.757,180.0,top
_941,146.086325,-188.849,0.0,top
_940,238.106675,-62.2477,0.0,top
_939,398.09065,-146.61265,0.0,top
_938,290.666975,-153.5253,0.0,top
_937,321.781675,-314.071,180.0,top
_936,194.981325,-180.467,0.0,top
_935,121.23065,-153.543,0.0,top
_934,232.936325,-409.9383,180.0,top
_933,107.333025,-318.33435,180.0,top
_932,177.237675,-410.02835,180.0,top
_931,384.48335,-341.376,180.0,top
_930,146.158675,-78.05035,0.0,top
_929,368.24535,-341.884,180.0,top
_928,224.282,-273.177,0.0,top
_927,146.158675,-66.49335,0.0,top
_926,209.695325,-426.3213,180.0,top
_925,209.695325,-395.9683,180.0,top
_924,162.578,-268.859,0.0,top
_923,27.50465,-176.58465,0.0,top
_922,146.031675,-97.35435,0.0,top
_921,179.723025,-318.5337,180.0,top
_920,302.786325,-410.13765,180.0,top
_919,258.336325,-432.6713,180.0,top
_918,50.98135,-318.33435,180.0,top
_917,209.459325,-169.74435,0.0,top
_916,132.733025,-348.68735,180.0,top
_915,305.271675,-318.643,180.0,top
_914,437.878,-410.21,180.0,top
_913,353.912975,-153.72465,0.0,top
_912,53.53935,-341.57535,180.0,top
_911,355.926675,-249.555,180.0,top
_910,146.158675,-74.11335,0.0,top
_909,229.761325,-433.0523,180.0,top
_908,20.01165,-176.96565,0.0,top
_907,405.402,-85.598,0.0,top
_906,158.260025,-318.5337,180.0,top
_905,20.084,-54.61,0.0,top
_904,446.677,-81.661,0.0,top
_903,147.392675,-403.67835,180.0,top
_902,118.509,-85.16235,0.0,top
_901,239.522,-273.177,0.0,top
_900,220.617325,-409.9383,180.0,top
_899,196.106025,-318.0257,180.0,top
_898,48.07865,-176.45765,0.0,top
_897,345.040975,-177.09265,0.0,top
_896,383.775975,-180.77565,0.0,top
_895,194.963,-262.636,0.0,top
_894,70.03135,-306.14235,180.0,top
_893,196.033675,-440.38135,180.0,top
_892,83.112325,-281.051,0.0,top
_891,90.696,-85.28935,0.0,top
_890,307.140325,-62.15765,0.0,top
_889,95.014025,-318.33435,180.0,top
_888,368.263675,-249.682,180.0,top
_887,249.682,-273.177,0.0,top
_886,384.73735,-314.071,180.0,top
_885,370.259325,-85.471,0.0,top
_884,162.56,-245.618,0.0,top
_883,146.322,-238.506,0.0,top
_882,309.553325,-85.27165,0.0,top
_881,194.981325,-152.654,0.0,top
_880,102.16265,-153.416,0.0,top
